Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-04-30T09:06:45.640Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2026-04-30T08:45:39.170Z,46.48,PLN,46.48,PLN,46.48,PLN
order,2026-04-28T13:33:46.693Z,48.40,PLN,48.40,PLN,48.40,PLN
order,2026-04-28T07:43:14.500Z,56.15,PLN,56.15,PLN,56.15,PLN
order,2026-04-27T19:46:05.721Z,84.10,PLN,84.10,PLN,84.10,PLN
order,2026-04-27T15:55:23.373Z,60.37,PLN,60.37,PLN,60.37,PLN
order,2026-04-25T08:19:58.810Z,51.76,PLN,51.76,PLN,51.76,PLN
order,2026-04-24T16:36:48.263Z,83.96,PLN,83.96,PLN,83.96,PLN
order,2026-04-24T08:49:12.466Z,71.95,PLN,71.95,PLN,71.95,PLN
order,2026-04-23T15:59:24.344Z,54.98,PLN,54.98,PLN,54.98,PLN
order,2026-04-22T19:36:16.269Z,52.62,PLN,52.62,PLN,52.62,PLN
order,2026-04-21T09:21:07.379Z,54.47,PLN,54.47,PLN,54.47,PLN
order,2026-04-20T20:02:19.751Z,130.49,PLN,130.49,PLN,130.49,PLN
order,2026-04-20T10:12:24.139Z,98.13,PLN,98.13,PLN,98.13,PLN
order,2026-04-17T04:41:33.768Z,20.17,PLN,20.17,PLN,0.00,PLN
order,2026-04-16T07:18:53.894Z,49.99,PLN,49.99,PLN,49.99,PLN
order,2026-04-16T06:50:45.820Z,60.50,PLN,60.50,PLN,60.50,PLN
order,2026-04-15T22:49:10.396Z,68.07,PLN,68.07,PLN,68.07,PLN
order,2026-04-14T17:02:13.297Z,93.24,PLN,93.24,PLN,93.24,PLN
order,2026-04-13T16:34:36.759Z,48.40,PLN,48.40,PLN,48.40,PLN
order,2026-04-13T06:50:26.006Z,73.37,PLN,73.37,PLN,73.37,PLN
order,2026-04-12T18:12:28.158Z,50.86,PLN,50.86,PLN,50.86,PLN
order,2026-04-12T12:58:47.906Z,45.17,PLN,45.17,PLN,45.17,PLN
order,2026-04-11T16:42:40.277Z,61.92,PLN,61.92,PLN,61.92,PLN
order,2026-04-11T14:21:41.637Z,51.72,PLN,51.72,PLN,51.72,PLN
order,2026-04-11T10:55:12.525Z,62.43,PLN,62.43,PLN,62.43,PLN
order,2026-04-11T10:00:30.349Z,46.46,PLN,46.46,PLN,46.46,PLN
order,2026-04-10T12:24:35.991Z,69.81,PLN,69.81,PLN,69.81,PLN
order,2026-04-09T07:10:34.142Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2026-04-09T06:43:25.394Z,54.97,PLN,54.97,PLN,54.97,PLN
order,2026-04-08T22:34:14.610Z,30.31,PLN,30.31,PLN,30.31,PLN
order,2026-04-08T20:17:09.123Z,426.63,PLN,426.63,PLN,306.65,PLN
order,2026-04-08T18:37:09.450Z,62.68,PLN,62.68,PLN,62.68,PLN
order,2026-04-07T16:59:08.451Z,61.66,PLN,61.66,PLN,61.66,PLN
order,2026-04-07T16:57:05.181Z,38.93,PLN,38.93,PLN,38.93,PLN
order,2026-04-07T08:23:55.778Z,55.71,PLN,55.71,PLN,55.71,PLN
order,2026-04-02T09:10:11.836Z,49.49,PLN,49.49,PLN,49.49,PLN
order,2026-04-02T06:04:07.663Z,83.94,PLN,83.94,PLN,83.94,PLN
order,2026-04-01T08:24:22.084Z,65.97,PLN,65.97,PLN,65.97,PLN
order,2026-03-31T21:22:25.806Z,66.56,PLN,66.56,PLN,66.56,PLN
order,2026-03-31T20:07:48.763Z,121.14,PLN,121.14,PLN,121.14,PLN
order,2026-03-31T19:25:27.992Z,87.96,PLN,87.96,PLN,87.96,PLN
order,2026-03-31T11:33:10.234Z,69.61,PLN,69.61,PLN,69.61,PLN
order,2026-03-30T15:25:24.821Z,49.06,PLN,49.06,PLN,49.06,PLN
order,2026-03-30T14:46:38.130Z,59.96,PLN,59.96,PLN,59.96,PLN
order,2026-03-30T14:43:40.555Z,53.69,PLN,53.69,PLN,53.69,PLN
order,2026-03-30T12:01:34.089Z,69.01,PLN,69.01,PLN,69.01,PLN
order,2026-03-30T11:04:42.527Z,52.37,PLN,52.37,PLN,52.37,PLN
order,2026-03-30T06:30:13.166Z,50.77,PLN,50.77,PLN,50.77,PLN
order,2026-03-30T04:02:15.597Z,49.49,PLN,49.49,PLN,49.49,PLN
order,2026-03-29T07:37:10.112Z,40.93,PLN,40.93,PLN,40.93,PLN
order,2026-03-28T12:18:54.972Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2026-03-28T10:44:48.466Z,66.96,PLN,66.96,PLN,66.96,PLN
order,2026-03-27T10:48:11.036Z,54.29,PLN,54.29,PLN,54.29,PLN
order,2026-03-26T20:47:46.577Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-03-26T10:47:57.387Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-03-26T08:10:05.074Z,49.47,PLN,49.47,PLN,49.47,PLN
order,2026-03-25T21:34:45.133Z,45.50,PLN,45.50,PLN,45.50,PLN
order,2026-03-25T12:22:08.185Z,45.03,PLN,45.03,PLN,45.03,PLN
order,2026-03-23T21:33:02.641Z,49.39,PLN,49.39,PLN,49.39,PLN

Type,LineItemId,OfferId,OfferExternalId,Name,Quantity,Price,Currency,TaxRate,TaxSubject,TaxExemption,Deposit,DepositCurrency
lineItem,c80cdcd0-4473-11f1-a712-6b0edbddb9eb,15693453408,,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",5,9.00,PLN,23.00,,,,
lineItem,d52936f1-4470-11f1-9574-5bfd4c9917ed,15574362500,"CIGG","Arganowy NAWILŻAJĄCY krem do twarzy 75 ml Equilibra",1,16.49,PLN,23.00,GOODS,,,
lineItem,d52936f0-4470-11f1-9574-5bfd4c9917ed,16081821273,,"Krem przeciwsłoneczny przeciwzmarszczkowy do twarzy 50 SPF 75 ml Equilibra",1,29.99,PLN,23.00,,,,
lineItem,da79dbc0-4306-11f1-9554-15775ddfbd29,15574925393,"NCQRO","Odświeżająca czysta woda różana 200ml",5,9.68,PLN,23.00,GOODS,,,
lineItem,855c7e02-42d3-11f1-8f22-a96d1a502ea1,17213901552,,"Equilibra oczyszczający żel do mycia twarzy z aktywnym węglem 200ml",1,24.29,PLN,23.00,GOODS,,,
lineItem,855c7e00-42d3-11f1-8f22-a96d1a502ea1,15574925122,"CSV","Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,23.00,GOODS,,,
lineItem,855c7e01-42d3-11f1-8f22-a96d1a502ea1,15574925393,"NCQRO","Odświeżająca czysta woda różana 200ml",1,9.68,PLN,23.00,GOODS,,,
lineItem,97196e81-4271-11f1-8872-19180f5b06f3,18447715541,"NCDAS","Aloesowy dezodorant w sztyfcie bez soli Equilibra kwas hialuronowy 50ml",3,17.54,PLN,23.00,,,,
lineItem,97196e82-4271-11f1-8872-19180f5b06f3,15574362500,"CIGG","Arganowy NAWILŻAJĄCY krem do twarzy 75 ml Equilibra",1,16.49,PLN,23.00,GOODS,,,
lineItem,97196e80-4271-11f1-8872-19180f5b06f3,17389017193,,"Equilibra pasta do zębów z aktywnym węglem 75ml",1,14.99,PLN,23.00,,,,
lineItem,6e6716b1-4251-11f1-97a8-9f4c50e400f3,15574362921,"BSAL","Nawilżająca odżywka włosy aloes kwas hialuronowy bez silikonów 200ml",1,23.39,PLN,23.00,GOODS,,,
lineItem,6e6716b0-4251-11f1-97a8-9f4c50e400f3,15574362775,"SHTE","Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,16.99,PLN,23.00,GOODS,,,
lineItem,6e6716b2-4251-11f1-97a8-9f4c50e400f3,15574362230,"NCQMA","Aloesowy żel micelarny do mycia twarzy ALOE 3+ kwas hialuronowy 200ml",1,19.99,PLN,23.00,GOODS,,,
lineItem,56beb8c1-407f-11f1-8f22-a96d1a502ea1,15574823991,"NCDB","Pasta do zębów wybielająca – żel aloesowy 75 ml",2,13.99,PLN,23.00,GOODS,,,
lineItem,56beb8c0-407f-11f1-8f22-a96d1a502ea1,15574823991,"NCDB","Pasta do zębów wybielająca – żel aloesowy 75 ml",2,11.89,PLN,23.00,GOODS,,,
lineItem,ba849bb4-3ffb-11f1-921d-cfccb20f1fb7,15574362775,"SHTE","Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,19.99,PLN,23.00,GOODS,,,
lineItem,ba849bb3-3ffb-11f1-921d-cfccb20f1fb7,15574362775,"SHTE","Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,16.99,PLN,23.00,GOODS,,,
lineItem,ba849bb0-3ffb-11f1-921d-cfccb20f1fb7,17869502704,,"Nawilżający szampon do włosów aloes kwas hialuronowy Equilibra 265ml",1,24.99,PLN,23.00,GOODS,,,
lineItem,ba849bb1-3ffb-11f1-921d-cfccb20f1fb7,18446575966,"_12619365003","Wzmacniający szampon przeciw wypadaniu włosów Equilibra biotyna 300ml",1,21.99,PLN,23.00,,,,
lineItem,1b37e170-3fba-11f1-869c-b35fce1c761b,15574362705,"CSLG","Arganowy BALSAM do ust 5,5 ml",5,14.39,PLN,23.00,GOODS,,,
lineItem,3ec3bed1-3f2d-11f1-a87e-ef08e2c072e1,16081821273,,"Krem przeciwsłoneczny przeciwzmarszczkowy do twarzy 50 SPF 75 ml Equilibra",1,29.99,PLN,23.00,,,,
lineItem,3ec3bed0-3f2d-11f1-a87e-ef08e2c072e1,17869502704,,"Nawilżający szampon do włosów aloes kwas hialuronowy Equilibra 265ml",1,24.99,PLN,23.00,GOODS,,,
lineItem,6ee5f1b0-3e82-11f1-8f22-a96d1a502ea1,18447715541,"NCDAS","Aloesowy dezodorant w sztyfcie bez soli Equilibra kwas hialuronowy 50ml",3,17.54,PLN,23.00,,,,
lineItem,402aa7f1-3d63-11f1-b6cd-eb157efeef64,18446575966,"_12619365003","Wzmacniający szampon przeciw wypadaniu włosów Equilibra biotyna 300ml",2,21.99,PLN,23.00,,,,
lineItem,a35e9400-3cf3-11f1-af17-87403a6c0afa,17532673280,,"Equilibra Kolagen Plus Suplement diety 10 saszetek, do picia",6,20.00,PLN,8.00,GOODS,,,
lineItem,662b9710-3ca1-11f1-a87e-ef08e2c072e1,15574925122,"CSV","Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,23.00,GOODS,,,
lineItem,662b9711-3ca1-11f1-a87e-ef08e2c072e1,15574823874,"CTLON","Wzmacniające ampułki przeciw wypadaniu włosów 10szt. x 8 ml Equilibra",1,53.50,PLN,23.00,GOODS,,,
