Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-03-23T20:53:58.056Z,71.76,PLN,71.76,PLN,71.76,PLN
order,2026-03-23T20:33:25.351Z,58.52,PLN,58.52,PLN,58.52,PLN
order,2026-03-23T19:47:59.434Z,70.09,PLN,70.09,PLN,70.09,PLN
order,2026-03-23T12:23:16.826Z,47.02,PLN,47.02,PLN,47.02,PLN
order,2026-03-22T19:38:58.070Z,48.51,PLN,48.51,PLN,48.51,PLN
order,2026-03-22T12:44:23.128Z,65.97,PLN,65.97,PLN,65.97,PLN
order,2026-03-20T11:36:27.028Z,51.58,PLN,51.58,PLN,51.58,PLN
order,2026-03-20T05:58:15.391Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-03-19T18:38:28.724Z,62.00,PLN,62.00,PLN,62.00,PLN
order,2026-03-17T18:59:02.631Z,54.00,PLN,54.00,PLN,54.00,PLN
order,2026-03-17T14:04:46.800Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-03-17T05:55:20.151Z,83.96,PLN,83.96,PLN,83.96,PLN
order,2026-03-16T21:05:42.677Z,80.72,PLN,80.72,PLN,80.72,PLN
order,2026-03-16T19:57:23.958Z,60.47,PLN,60.47,PLN,60.47,PLN
order,2026-03-16T19:19:41.436Z,27.98,PLN,27.98,PLN,27.98,PLN
order,2026-03-16T18:42:59.025Z,63.69,PLN,63.69,PLN,63.69,PLN
order,2026-03-16T17:02:23.996Z,54.73,PLN,54.73,PLN,54.73,PLN
order,2026-03-16T16:01:09.702Z,181.79,PLN,181.79,PLN,181.79,PLN
order,2026-03-16T13:44:38.286Z,55.87,PLN,55.87,PLN,55.87,PLN
order,2026-03-16T10:33:13.205Z,63.50,PLN,63.50,PLN,63.50,PLN
order,2026-03-16T08:35:59.650Z,54.94,PLN,54.94,PLN,54.94,PLN
order,2026-03-16T04:44:39.746Z,48.73,PLN,48.73,PLN,48.73,PLN
order,2026-03-15T20:55:34.784Z,74.65,PLN,74.65,PLN,74.65,PLN
order,2026-03-15T19:50:13.684Z,58.04,PLN,58.04,PLN,58.04,PLN
order,2026-03-15T16:00:06.527Z,129.64,PLN,129.64,PLN,129.64,PLN
order,2026-03-15T14:09:13.785Z,56.82,PLN,56.82,PLN,56.82,PLN
order,2026-03-15T10:02:37.382Z,56.53,PLN,56.53,PLN,56.53,PLN
order,2026-03-14T19:10:20.693Z,71.70,PLN,71.70,PLN,71.70,PLN
order,2026-03-14T14:40:14.545Z,79.24,PLN,79.24,PLN,79.24,PLN
order,2026-03-14T09:15:10.603Z,45.58,PLN,45.58,PLN,45.58,PLN
order,2026-03-14T07:05:34.851Z,61.86,PLN,61.86,PLN,37.88,PLN
order,2026-03-13T16:37:01.952Z,53.29,PLN,53.29,PLN,53.29,PLN
order,2026-03-13T16:15:34.245Z,37.83,PLN,37.83,PLN,37.83,PLN
order,2026-03-13T09:29:36.815Z,78.75,PLN,78.75,PLN,78.75,PLN
order,2026-03-13T04:33:12.958Z,78.00,PLN,78.00,PLN,78.00,PLN
order,2026-03-12T22:08:40.367Z,65.96,PLN,65.96,PLN,65.96,PLN
order,2026-03-12T16:42:51.681Z,58.86,PLN,58.86,PLN,58.86,PLN
order,2026-03-12T13:11:10.190Z,103.58,PLN,103.58,PLN,103.58,PLN
order,2026-03-12T09:19:27.984Z,55.79,PLN,55.79,PLN,55.79,PLN
order,2026-03-12T06:57:43.585Z,47.43,PLN,47.43,PLN,47.43,PLN
order,2026-03-11T21:19:14.497Z,53.38,PLN,53.38,PLN,53.38,PLN
order,2026-03-11T14:20:04.377Z,52.29,PLN,52.29,PLN,52.29,PLN
order,2026-03-11T13:32:03.735Z,78.00,PLN,78.00,PLN,78.00,PLN
order,2026-03-11T12:49:15.852Z,64.49,PLN,64.49,PLN,64.49,PLN
order,2026-03-11T12:07:42.595Z,55.85,PLN,55.85,PLN,55.85,PLN
order,2026-03-11T11:59:03.471Z,56.44,PLN,56.44,PLN,56.44,PLN
order,2026-03-11T10:50:07.920Z,55.87,PLN,55.87,PLN,55.87,PLN
order,2026-03-11T09:52:55.066Z,146.87,PLN,146.87,PLN,146.87,PLN
order,2026-03-11T07:52:26.831Z,61.32,PLN,61.32,PLN,61.32,PLN
order,2026-03-11T06:05:11.773Z,43.75,PLN,43.75,PLN,43.75,PLN
order,2026-03-10T16:13:16.917Z,47.64,PLN,47.64,PLN,47.64,PLN
order,2026-03-10T15:00:29.977Z,65.28,PLN,65.28,PLN,65.28,PLN
order,2026-03-10T14:21:37.507Z,56.25,PLN,56.25,PLN,56.25,PLN
order,2026-03-10T12:45:46.344Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-03-10T10:22:25.910Z,99.66,PLN,99.66,PLN,99.66,PLN
order,2026-03-10T09:32:49.904Z,34.34,PLN,34.34,PLN,34.34,PLN
order,2026-03-10T06:14:46.240Z,48.25,PLN,48.25,PLN,48.25,PLN
order,2026-03-10T04:41:55.079Z,47.96,PLN,47.96,PLN,47.96,PLN
order,2026-03-09T21:27:41.205Z,77.31,PLN,77.31,PLN,77.31,PLN
order,2026-03-09T21:10:52.723Z,56.82,PLN,56.82,PLN,56.82,PLN

Type,LineItemId,OfferExternalId,Quantity,Price,Currency,TaxRate,TaxSubject,TaxExemption,Deposit,DepositCurrency
lineItem,464bd394-26fa-11f1-9d2b-61373ba5e347,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,464bd393-26fa-11f1-9d2b-61373ba5e347,,1,17.99,PLN,23.00,GOODS,,,
lineItem,464bd390-26fa-11f1-9d2b-61373ba5e347,,1,7.99,PLN,,,,,
lineItem,464bd395-26fa-11f1-9d2b-61373ba5e347,"NCQMA",1,22.39,PLN,23.00,GOODS,,,
lineItem,57bb5b30-26f7-11f1-99aa-9b2dc3677a9d,"CICIF",4,14.63,PLN,23.00,GOODS,,,
lineItem,2bb96461-26f1-11f1-8a8c-f703eed21828,,1,31.59,PLN,23.00,,,,
lineItem,2bb96460-26f1-11f1-8a8c-f703eed21828,,1,38.50,PLN,23.00,,,,
lineItem,0043f091-26b3-11f1-a479-a3d4264915e2,,1,17.99,PLN,23.00,GOODS,,,
lineItem,0043f092-26b3-11f1-a479-a3d4264915e2,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,0043f090-26b3-11f1-a479-a3d4264915e2,,1,12.00,PLN,23.00,,,,
lineItem,b9a7a321-2626-11f1-af44-739463792add,"SHTE",2,17.03,PLN,23.00,GOODS,,,
lineItem,b9a7a320-2626-11f1-af44-739463792add,"SHTE",1,14.45,PLN,23.00,GOODS,,,
lineItem,cc87fdd0-25ec-11f1-a110-070605dccf7f,,3,21.99,PLN,,,,,
lineItem,f4730bc0-2450-11f1-b8a1-2529a5819e54,,1,7.99,PLN,,,,,
lineItem,f4730bc2-2450-11f1-b8a1-2529a5819e54,,1,31.59,PLN,23.00,,,,
lineItem,f4730bc1-2450-11f1-b8a1-2529a5819e54,,1,12.00,PLN,23.00,,,,
lineItem,c2baaa90-2421-11f1-8e90-db59d2bba97d,,3,17.99,PLN,23.00,GOODS,,,
lineItem,c613f3e1-23c2-11f1-8947-81faec47a728,,2,11.99,PLN,23.00,,,,
lineItem,c613f3e0-23c2-11f1-8947-81faec47a728,"CTSR6N",1,20.99,PLN,23.00,GOODS,,,
lineItem,c613f3e2-23c2-11f1-8947-81faec47a728,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,59929090-2233-11f1-9482-af948411d35b,"CSC",6,9.00,PLN,23.00,GOODS,,,
lineItem,225291d1-220a-11f1-8e90-db59d2bba97d,,3,17.99,PLN,23.00,GOODS,,,
lineItem,9b231e80-21c5-11f1-a278-0b443ee52c04,"CTSR6N",4,20.99,PLN,23.00,GOODS,,,
lineItem,b7779ec2-217b-11f1-979f-e9ecb3521c8c,,1,9.65,PLN,23.00,,,,
lineItem,b7779ec3-217b-11f1-979f-e9ecb3521c8c,,1,12.59,PLN,23.00,,,,
lineItem,b7779ec4-217b-11f1-979f-e9ecb3521c8c,,1,24.29,PLN,23.00,GOODS,,,
lineItem,b7779ec1-217b-11f1-979f-e9ecb3521c8c,"NCQRO",1,10.20,PLN,23.00,GOODS,,,
lineItem,b7779ec0-217b-11f1-979f-e9ecb3521c8c,,1,12.00,PLN,23.00,,,,
lineItem,537b64a1-2172-11f1-b3b1-5f4efe455cd4,"CCFM",1,19.99,PLN,23.00,GOODS,,,
lineItem,537b64a2-2172-11f1-b3b1-5f4efe455cd4,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,537b64a0-2172-11f1-b3b1-5f4efe455cd4,"NCDS",1,17.09,PLN,23.00,GOODS,,,
lineItem,d048c2d0-216c-11f1-b75d-e1dbece90e30,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,ead37232-2167-11f1-872e-65914c1dabcb,,2,9.65,PLN,23.00,,,,
lineItem,ead37231-2167-11f1-872e-65914c1dabcb,"NCQRO",2,10.20,PLN,23.00,GOODS,,,
lineItem,ead37230-2167-11f1-872e-65914c1dabcb,,1,23.99,PLN,23.00,,,,
lineItem,b4292f81-2159-11f1-860a-27cff393b921,,4,9.65,PLN,23.00,,,,
lineItem,b4292f80-2159-11f1-860a-27cff393b921,"SHRO",1,16.13,PLN,,,,,
lineItem,4919a102-2151-11f1-acdf-f989c020f79b,"CICIA",1,13.50,PLN,23.00,GOODS,,,
lineItem,4919a105-2151-11f1-acdf-f989c020f79b,"NCDAR",1,18.39,PLN,23.00,GOODS,,,
lineItem,4919a104-2151-11f1-acdf-f989c020f79b,,1,16.79,PLN,,,,,
lineItem,4919a101-2151-11f1-acdf-f989c020f79b,,1,34.99,PLN,23.00,GOODS,,,
lineItem,4919a103-2151-11f1-acdf-f989c020f79b,"NCQRO",2,10.20,PLN,23.00,GOODS,,,
lineItem,4919a100-2151-11f1-acdf-f989c020f79b,"SHRO",1,16.13,PLN,,,,,
lineItem,4919a106-2151-11f1-acdf-f989c020f79b,,1,61.59,PLN,23.00,,,,
lineItem,411c2ad0-213e-11f1-895e-59b37583dff3,,1,17.99,PLN,23.00,GOODS,,,
lineItem,411c2ad1-213e-11f1-895e-59b37583dff3,"CTSR6N",2,18.94,PLN,23.00,GOODS,,,
lineItem,7e940d81-2123-11f1-895e-59b37583dff3,,1,23.98,PLN,23.00,,,,
lineItem,7e940d82-2123-11f1-895e-59b37583dff3,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,7e940d80-2123-11f1-895e-59b37583dff3,"SHRO",1,16.13,PLN,,,,,
lineItem,0915b9b0-2113-11f1-927e-654dcc3ce9e9,"CSV",5,8.89,PLN,23.00,GOODS,,,
