Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-02-09T10:34:01.389Z,47.96,PLN,47.96,PLN,47.96,PLN
order,2026-02-09T10:15:52.272Z,53.26,PLN,53.26,PLN,53.26,PLN
order,2026-02-08T20:30:51.128Z,47.96,PLN,47.96,PLN,47.96,PLN
order,2026-02-08T14:15:52.891Z,47.30,PLN,47.30,PLN,47.30,PLN
order,2026-02-08T13:59:17.149Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-02-08T09:56:39.943Z,273.96,PLN,273.96,PLN,273.96,PLN
order,2026-02-08T08:58:46.255Z,51.64,PLN,51.64,PLN,51.64,PLN
order,2026-02-08T08:27:31.416Z,46.50,PLN,46.50,PLN,46.50,PLN
order,2026-02-08T08:13:31.996Z,90.06,PLN,90.06,PLN,90.06,PLN
order,2026-02-08T07:28:55.891Z,50.80,PLN,50.80,PLN,50.80,PLN
order,2026-02-07T12:13:32.526Z,53.22,PLN,53.22,PLN,53.22,PLN
order,2026-02-07T10:59:25.896Z,56.47,PLN,56.47,PLN,56.47,PLN
order,2026-02-06T17:01:29.827Z,51.00,PLN,51.00,PLN,51.00,PLN
order,2026-02-06T10:16:37.600Z,55.46,PLN,55.46,PLN,55.46,PLN
order,2026-02-06T08:29:38.700Z,58.17,PLN,58.17,PLN,58.17,PLN
order,2026-02-06T07:51:29.123Z,46.26,PLN,46.26,PLN,46.26,PLN
order,2026-02-05T19:54:08.243Z,59.97,PLN,59.97,PLN,59.97,PLN
order,2026-02-05T08:07:49.604Z,120.72,PLN,120.72,PLN,120.72,PLN
order,2026-02-05T06:54:58.424Z,166.01,PLN,166.01,PLN,166.01,PLN
order,2026-02-05T06:02:13.242Z,55.96,PLN,55.96,PLN,55.96,PLN
order,2026-02-05T00:48:59.862Z,60.27,PLN,60.27,PLN,60.27,PLN
order,2026-02-04T17:15:55.545Z,51.96,PLN,51.96,PLN,51.96,PLN
order,2026-02-04T16:18:46.173Z,77.98,PLN,77.98,PLN,77.98,PLN
order,2026-02-04T11:46:03.832Z,55.96,PLN,55.96,PLN,55.96,PLN
order,2026-02-04T08:31:13.425Z,57.94,PLN,57.94,PLN,57.94,PLN
order,2026-02-04T08:15:18.380Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-02-04T08:13:00.897Z,38.47,PLN,38.47,PLN,38.47,PLN
order,2026-02-04T04:06:37.959Z,75.05,PLN,75.05,PLN,75.05,PLN
order,2026-02-03T21:43:36.416Z,55.96,PLN,55.96,PLN,55.96,PLN
order,2026-02-03T21:01:52.253Z,48.77,PLN,48.77,PLN,48.77,PLN
order,2026-02-03T19:45:00.171Z,48.18,PLN,48.18,PLN,48.18,PLN
order,2026-02-03T18:12:01.337Z,55.96,PLN,55.96,PLN,55.96,PLN
order,2026-02-03T17:44:14.840Z,31.99,PLN,31.99,PLN,31.99,PLN
order,2026-02-03T14:31:48.422Z,220.42,PLN,220.42,PLN,220.42,PLN
order,2026-02-03T14:21:39.594Z,45.97,PLN,45.97,PLN,45.97,PLN
order,2026-02-03T13:37:43.445Z,,,257.06,PLN,0.00,PLN
order,2026-02-03T12:03:09.655Z,69.95,PLN,69.95,PLN,69.95,PLN
order,2026-02-03T10:58:08.973Z,56.99,PLN,56.99,PLN,56.99,PLN
order,2026-02-03T09:04:59.751Z,55.46,PLN,55.46,PLN,55.46,PLN
order,2026-02-03T00:07:31.444Z,49.83,PLN,49.83,PLN,49.83,PLN
order,2026-02-02T21:14:50.711Z,45.47,PLN,45.47,PLN,45.47,PLN
order,2026-02-02T20:53:46.382Z,,,57.37,PLN,0.00,PLN
order,2026-02-02T19:58:23.259Z,47.95,PLN,47.95,PLN,47.95,PLN
order,2026-02-02T18:05:04.895Z,49.83,PLN,49.83,PLN,49.83,PLN
order,2026-02-02T17:12:15.083Z,55.52,PLN,55.52,PLN,55.52,PLN
order,2026-02-02T10:36:44.244Z,52.47,PLN,52.47,PLN,52.47,PLN
order,2026-02-01T14:40:04.199Z,59.17,PLN,59.17,PLN,59.17,PLN
order,2026-02-01T12:29:42.655Z,46.76,PLN,46.76,PLN,46.76,PLN
order,2026-02-01T11:15:23.817Z,46.80,PLN,46.80,PLN,46.80,PLN
order,2026-01-31T10:41:53.565Z,76.10,PLN,76.10,PLN,76.10,PLN
order,2026-01-31T07:58:42.888Z,65.97,PLN,65.97,PLN,65.97,PLN
order,2026-01-30T11:23:51.827Z,70.96,PLN,70.96,PLN,70.96,PLN
order,2026-01-28T19:53:43.825Z,89.96,PLN,89.96,PLN,89.96,PLN
order,2026-01-28T15:37:17.325Z,62.97,PLN,62.97,PLN,62.97,PLN
order,2026-01-27T21:48:44.191Z,34.49,PLN,34.49,PLN,34.49,PLN
order,2026-01-27T21:18:09.873Z,49.37,PLN,49.37,PLN,49.37,PLN
order,2026-01-27T11:40:56.043Z,50.99,PLN,50.99,PLN,50.99,PLN
order,2026-01-27T11:25:33.060Z,51.97,PLN,51.97,PLN,51.97,PLN
order,2026-01-26T20:35:27.957Z,104.95,PLN,104.95,PLN,104.95,PLN
order,2026-01-26T13:38:55.487Z,48.00,PLN,48.00,PLN,48.00,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,cd259874-05a2-11f1-964d-f558ddbcf575,16081821273,"Krem przeciwzmarszczkowy przeciwsłoneczny do twarzy 50 SPF 75 ml Equilibra",2,23.98,PLN,,
lineItem,3d0378e1-05a0-11f1-b9e0-3d52ff917276,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,10.16,PLN,,
lineItem,3d0378e0-05a0-11f1-b9e0-3d52ff917276,17713034969,"EQUILIBRA Aloesowy Żel do kąpieli 400ml",1,21.99,PLN,,
lineItem,ef5019a0-052c-11f1-947e-ddffaf641746,16081821273,"Krem przeciwzmarszczkowy przeciwsłoneczny do twarzy 50 SPF 75 ml Equilibra",2,23.98,PLN,,
lineItem,a46307b2-04f8-11f1-8b51-11d711ff763e,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,a46307b0-04f8-11f1-8b51-11d711ff763e,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,10.16,PLN,,
lineItem,a46307b1-04f8-11f1-8b51-11d711ff763e,17389067395,"Equilibra balsam do ust z masłem Shea 5.5ml",1,13.49,PLN,,
lineItem,2f63eda0-04f6-11f1-a8d5-afdaf3ea874b,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",3,17.99,PLN,,
lineItem,5b730b08-04d4-11f1-aaa6-e7182da36d71,17914468111,"Equilibra - Olejek rozmarynowy na włosy 100ml",1,35.92,PLN,,
lineItem,5b730b01-04d4-11f1-aaa6-e7182da36d71,17914507151,"Equilibra Wzmacniający szampon rozmarynowy 265ml",1,19.06,PLN,,
lineItem,5b730b02-04d4-11f1-aaa6-e7182da36d71,15574362344,"Aloesowy delikatny żel do higieny intymnej 200 ml Equilibra",1,14.45,PLN,,
lineItem,5b730b04-04d4-11f1-aaa6-e7182da36d71,17388976805,"Equilibra Aloe Maska z kwasem hialuronowym 450ml",1,41.39,PLN,,
lineItem,5b730b00-04d4-11f1-aaa6-e7182da36d71,17914507151,"Equilibra Wzmacniający szampon rozmarynowy 265ml",2,25.99,PLN,,
lineItem,5b730b06-04d4-11f1-aaa6-e7182da36d71,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",2,16.59,PLN,,
lineItem,5b730b05-04d4-11f1-aaa6-e7182da36d71,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,23.99,PLN,,
lineItem,5b730b03-04d4-11f1-aaa6-e7182da36d71,15574823874,"Wzmacniające ampułki przeciw wypadaniu włosów 10szt. x 8 ml Equilibra",1,53.99,PLN,,
lineItem,54489b41-04cc-11f1-8ffe-d9ed290ea2bc,15574362427,"Różane wygładzające serum 30ml Equilibra",1,31.00,PLN,,
lineItem,54489b40-04cc-11f1-8ffe-d9ed290ea2bc,15694160050,"Dezodorant RÓŻANY w sztyfcie z kwasem hialuronowym 50ml Equilibra",1,20.64,PLN,,
lineItem,fb37fef0-04c7-11f1-9d99-b96f44c1573a,15574925173,"Mydło nagietkowe 100g Equilibra",5,9.30,PLN,,
lineItem,f80f0b81-04c5-11f1-b7cd-074d632f3b6f,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",4,19.94,PLN,,
lineItem,f80f0b80-04c5-11f1-b7cd-074d632f3b6f,15574925393,"Odświeżająca czysta woda różana 200ml",1,10.30,PLN,,
lineItem,c9f27210-04bf-11f1-bf4b-5db3c4d6c95f,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",5,10.16,PLN,,
lineItem,54863e92-041e-11f1-8888-272c5241e972,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,17.99,PLN,,
lineItem,54863e90-041e-11f1-8888-272c5241e972,15574925358,"Mydło oczyszczające 100% roślinne z aktywny węglem 100 g",1,11.69,PLN,,
lineItem,54863e91-041e-11f1-8888-272c5241e972,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",2,11.77,PLN,,
lineItem,02437b71-0414-11f1-a8d5-afdaf3ea874b,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",2,19.94,PLN,,
lineItem,02437b70-0414-11f1-a8d5-afdaf3ea874b,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,16.59,PLN,,
lineItem,6813cf00-037d-11f1-b174-a3a256e25509,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",3,17.00,PLN,,
lineItem,deb30650-0344-11f1-83aa-870372230aee,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,deb30651-0344-11f1-83aa-870372230aee,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,13.99,PLN,,
lineItem,d12f3d00-0335-11f1-a64c-45b29e86bc3d,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,13.99,PLN,,
lineItem,d12f3d01-0335-11f1-a64c-45b29e86bc3d,16101363440,"Equilibra pasta do zębów multi-funkcyjna 75ml",1,16.20,PLN,,
