Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-01-08T12:38:58.785Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-08T11:46:39.086Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-08T10:26:32.511Z,60.68,PLN,60.68,PLN,60.68,PLN
order,2026-01-08T08:46:19.320Z,34.95,PLN,34.95,PLN,34.95,PLN
order,2026-01-08T06:25:58.382Z,55.16,PLN,55.16,PLN,55.16,PLN
order,2026-01-07T22:03:28.951Z,45.66,PLN,45.66,PLN,45.66,PLN
order,2026-01-07T18:36:31.653Z,64.50,PLN,64.50,PLN,64.50,PLN
order,2026-01-07T15:21:51.341Z,56.50,PLN,56.50,PLN,56.50,PLN
order,2026-01-07T12:24:25.850Z,,,222.82,PLN,0.00,PLN
order,2026-01-07T12:16:25.756Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-07T11:48:56.013Z,45.97,PLN,45.97,PLN,45.97,PLN
order,2026-01-07T10:39:04.174Z,59.18,PLN,59.18,PLN,59.18,PLN
order,2026-01-07T07:45:34.323Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-07T01:31:13.245Z,54.77,PLN,54.77,PLN,54.77,PLN
order,2026-01-06T20:40:05.098Z,49.37,PLN,49.37,PLN,49.37,PLN
order,2026-01-06T20:26:31.421Z,95.07,PLN,95.07,PLN,95.07,PLN
order,2026-01-06T20:16:26.676Z,59.68,PLN,59.68,PLN,59.68,PLN
order,2026-01-06T17:38:57.022Z,56.50,PLN,56.50,PLN,56.50,PLN
order,2026-01-06T16:06:38.542Z,65.36,PLN,65.36,PLN,65.36,PLN
order,2026-01-06T15:56:14.574Z,103.09,PLN,103.09,PLN,103.09,PLN
order,2026-01-06T10:22:19.838Z,51.98,PLN,51.98,PLN,51.98,PLN
order,2026-01-06T08:57:39.189Z,47.01,PLN,47.01,PLN,47.01,PLN
order,2026-01-05T18:40:25.958Z,,,63.49,PLN,0.00,PLN
order,2026-01-05T16:08:58.075Z,39.98,PLN,39.98,PLN,39.98,PLN
order,2026-01-05T14:26:49.095Z,142.28,PLN,142.28,PLN,142.28,PLN
order,2026-01-05T13:25:22.203Z,46.97,PLN,46.97,PLN,46.97,PLN
order,2026-01-05T12:53:59.880Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-05T05:29:41.695Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-04T20:37:26.972Z,56.39,PLN,56.39,PLN,56.39,PLN
order,2026-01-04T19:32:41.010Z,85.88,PLN,85.88,PLN,85.88,PLN
order,2026-01-04T19:32:40.851Z,62.68,PLN,62.68,PLN,62.68,PLN
order,2026-01-04T18:35:52.922Z,55.37,PLN,55.37,PLN,55.37,PLN
order,2026-01-04T18:27:50.249Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-04T13:31:50.568Z,22.49,PLN,22.49,PLN,22.49,PLN
order,2026-01-03T14:37:54.967Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-03T12:41:25.453Z,48.98,PLN,48.98,PLN,48.98,PLN
order,2026-01-02T20:43:58.171Z,101.26,PLN,101.26,PLN,101.26,PLN
order,2026-01-02T20:42:52.286Z,66.17,PLN,66.17,PLN,66.17,PLN
order,2026-01-02T17:31:45.604Z,48.78,PLN,48.78,PLN,48.78,PLN
order,2026-01-02T14:25:01.138Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-01T15:16:21.379Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2026-01-01T11:26:24.517Z,61.04,PLN,61.04,PLN,61.04,PLN
order,2025-12-31T14:53:05.139Z,91.03,PLN,91.03,PLN,91.03,PLN
order,2025-12-31T09:03:59.679Z,52.50,PLN,52.50,PLN,52.50,PLN
order,2025-12-30T17:57:36.335Z,33.99,PLN,33.99,PLN,33.99,PLN
order,2025-12-30T10:56:36.891Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-29T20:13:48.383Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2025-12-29T18:36:58.422Z,38.95,PLN,38.95,PLN,38.95,PLN
order,2025-12-29T16:45:16.695Z,53.99,PLN,53.99,PLN,53.99,PLN
order,2025-12-29T14:22:08.668Z,69.35,PLN,69.35,PLN,69.35,PLN
order,2025-12-29T14:04:52.757Z,34.95,PLN,34.95,PLN,34.95,PLN
order,2025-12-29T13:35:23.503Z,54.89,PLN,54.89,PLN,54.89,PLN
order,2025-12-29T13:07:25.628Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-29T10:14:25.727Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-28T11:59:11.843Z,142.88,PLN,142.88,PLN,142.88,PLN
order,2025-12-27T16:40:22.571Z,47.01,PLN,47.01,PLN,47.01,PLN
order,2025-12-27T14:40:56.330Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-27T12:36:53.247Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-27T10:34:46.884Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-12-26T20:46:02.315Z,48.00,PLN,48.00,PLN,48.00,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,ef526130-ec8e-11f0-a831-a17fdcd5697b,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,a2c5d6a0-ec87-11f0-b311-676428e411fa,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",4,12.00,PLN,,
lineItem,75911e70-ec7c-11f0-9418-5375d2f63200,17913929570,"Aloesowe łagodne mleczko do demakijażu 200 ml",1,24.99,PLN,,
lineItem,75911e72-ec7c-11f0-9418-5375d2f63200,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,75911e71-ec7c-11f0-9418-5375d2f63200,15574925358,"Mydło oczyszczające 100% roślinne z aktywny węglem 100 g",1,11.69,PLN,,
lineItem,6d13feb0-ec6e-11f0-a241-65d7d617b7e0,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,dac39d32-ec5a-11f0-bcc4-e3d40e406792,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,12.99,PLN,,
lineItem,dac39d31-ec5a-11f0-bcc4-e3d40e406792,15574925122,"Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,,
lineItem,dac39d30-ec5a-11f0-bcc4-e3d40e406792,15574925203,"Mydło różane z kwasem hialuronowym 100g Equilibra",1,12.99,PLN,,
lineItem,dac39d33-ec5a-11f0-bcc4-e3d40e406792,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,97728050-ec14-11f0-a4ee-ed42b08552bd,17913884997,"Aloesowa oczyszczająca maseczka do twarzy 2 x 7,5ml",1,7.99,PLN,,
lineItem,97728052-ec14-11f0-a4ee-ed42b08552bd,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,12.99,PLN,,
lineItem,97728051-ec14-11f0-a4ee-ed42b08552bd,15574925149,"Mydło z masłem Shea 100 g Equilibra",1,11.69,PLN,,
lineItem,8ae9c130-ebf7-11f0-bcc4-e3d40e406792,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,8ae9c132-ebf7-11f0-bcc4-e3d40e406792,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,11db90e2-ebdc-11f0-b345-03a50e468a60,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,11db90e1-ebdc-11f0-b345-03a50e468a60,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,11db90e0-ebdc-11f0-b345-03a50e468a60,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,12.99,PLN,,
lineItem,90bde70a-ebc3-11f0-bca9-6d68512c97d1,15574823991,"Pasta do zębów wybielająca – żel aloesowy 75 ml",2,16.20,PLN,,
lineItem,90bde709-ebc3-11f0-bca9-6d68512c97d1,15574823991,"Pasta do zębów wybielająca – żel aloesowy 75 ml",1,13.77,PLN,,
lineItem,90bde703-ebc3-11f0-bca9-6d68512c97d1,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,12.00,PLN,,
lineItem,90bde70b-ebc3-11f0-bca9-6d68512c97d1,15693659903,"Aloesowy krem przeciwzmarszczkowy efekt wypełnienia Aloe 3+ 50ml Equilibra",1,53.99,PLN,,
lineItem,90bde708-ebc3-11f0-bca9-6d68512c97d1,16083109785,"Arganowy peeling do twarzy złuszczający Equilibra 75 ml",1,15.99,PLN,,
lineItem,90bde702-ebc3-11f0-bca9-6d68512c97d1,15574362473,"Arganowy żel do kąpieli 400 ml",1,19.71,PLN,,
lineItem,90bde701-ebc3-11f0-bca9-6d68512c97d1,17713034969,"EQUILIBRA Aloesowy Żel do kąpieli 400ml",1,21.99,PLN,,
lineItem,90bde700-ebc3-11f0-bca9-6d68512c97d1,16081821273,"Krem przeciwzmarszczkowy przeciwsłoneczny do twarzy 50 SPF 75 ml Equilibra",1,23.98,PLN,,
lineItem,565c7cd0-ebc2-11f0-b1a0-cf2b135e8d3b,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,d23dbb62-ebbe-11f0-902e-8d8c6b8eaa2d,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,d23dbb61-ebbe-11f0-902e-8d8c6b8eaa2d,17913884997,"Aloesowa oczyszczająca maseczka do twarzy 2 x 7,5ml",1,7.99,PLN,,
lineItem,d23dbb60-ebbe-11f0-902e-8d8c6b8eaa2d,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,12.99,PLN,,
lineItem,0fb985f1-ebb5-11f0-bd4e-9fff560a7052,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
