Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-10-23T21:11:39.160Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-23T08:43:13.268Z,85.07,PLN,85.07,PLN,85.07,PLN
order,2025-10-23T07:48:16.622Z,55.40,PLN,55.40,PLN,55.40,PLN
order,2025-10-22T22:08:38.457Z,50.90,PLN,50.90,PLN,50.90,PLN
order,2025-10-22T21:33:15.382Z,47.39,PLN,47.39,PLN,47.39,PLN
order,2025-10-22T20:54:17.826Z,37.89,PLN,37.89,PLN,37.89,PLN
order,2025-10-22T18:55:41.071Z,64.68,PLN,64.68,PLN,64.68,PLN
order,2025-10-22T14:02:50.790Z,63.38,PLN,63.38,PLN,63.38,PLN
order,2025-10-22T10:22:51.774Z,49.45,PLN,49.45,PLN,49.45,PLN
order,2025-10-22T08:41:55.796Z,48.00,PLN,48.00,PLN,0.00,PLN
order,2025-10-21T18:13:13.779Z,38.99,PLN,38.99,PLN,38.99,PLN
order,2025-10-21T15:33:36.787Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-21T15:18:26.979Z,47.89,PLN,47.89,PLN,47.89,PLN
order,2025-10-21T13:38:29.847Z,60.48,PLN,60.48,PLN,60.48,PLN
order,2025-10-21T13:33:29.897Z,49.29,PLN,49.29,PLN,49.29,PLN
order,2025-10-21T12:59:55.244Z,48.01,PLN,48.01,PLN,48.01,PLN
order,2025-10-21T12:24:45.419Z,56.63,PLN,56.63,PLN,56.63,PLN
order,2025-10-21T09:40:34.327Z,47.43,PLN,47.43,PLN,47.43,PLN
order,2025-10-21T07:33:28.121Z,34.99,PLN,34.99,PLN,34.99,PLN
order,2025-10-21T06:42:06.121Z,65.00,PLN,65.00,PLN,65.00,PLN
order,2025-10-21T04:39:15.668Z,50.28,PLN,50.28,PLN,50.28,PLN
order,2025-10-20T20:35:08.181Z,63.48,PLN,63.48,PLN,63.48,PLN
order,2025-10-20T15:04:13.184Z,76.42,PLN,76.42,PLN,76.42,PLN
order,2025-10-20T14:51:57.459Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2025-10-20T11:38:18.081Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-20T10:52:17.515Z,59.24,PLN,59.24,PLN,59.24,PLN
order,2025-10-20T09:45:58.667Z,48.84,PLN,48.84,PLN,48.84,PLN
order,2025-10-20T09:31:07.086Z,57.42,PLN,57.42,PLN,57.42,PLN
order,2025-10-20T09:17:06.930Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-20T08:32:05.818Z,67.09,PLN,67.09,PLN,67.09,PLN
order,2025-10-20T08:15:52.600Z,71.24,PLN,71.24,PLN,71.24,PLN
order,2025-10-20T07:06:21.573Z,54.18,PLN,54.18,PLN,54.18,PLN
order,2025-10-20T06:41:15.205Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-20T05:18:34.444Z,22.99,PLN,22.99,PLN,22.99,PLN
order,2025-10-20T04:45:45.067Z,38.39,PLN,38.39,PLN,38.39,PLN
order,2025-10-20T00:26:13.367Z,46.39,PLN,46.39,PLN,46.39,PLN
order,2025-10-19T22:16:02.318Z,93.12,PLN,93.12,PLN,93.12,PLN
order,2025-10-19T21:50:54.728Z,72.27,PLN,72.27,PLN,72.27,PLN
order,2025-10-19T21:29:24.301Z,49.39,PLN,49.39,PLN,49.39,PLN
order,2025-10-19T19:39:53.072Z,46.61,PLN,46.61,PLN,46.61,PLN
order,2025-10-19T18:50:58.598Z,62.43,PLN,62.43,PLN,62.43,PLN
order,2025-10-19T18:42:38.099Z,87.18,PLN,87.18,PLN,87.18,PLN
order,2025-10-19T18:23:31.079Z,59.24,PLN,59.24,PLN,59.24,PLN
order,2025-10-19T17:05:04.331Z,55.10,PLN,55.10,PLN,55.10,PLN
order,2025-10-19T16:38:08.592Z,54.18,PLN,54.18,PLN,54.18,PLN
order,2025-10-19T15:23:24.178Z,159.98,PLN,159.98,PLN,159.98,PLN
order,2025-10-19T12:42:34.271Z,50.86,PLN,50.86,PLN,50.86,PLN
order,2025-10-19T09:51:05.827Z,45.94,PLN,45.94,PLN,45.94,PLN
order,2025-10-19T07:32:21.922Z,56.96,PLN,56.96,PLN,56.96,PLN
order,2025-10-18T12:52:46.168Z,52.49,PLN,52.49,PLN,52.49,PLN
order,2025-10-18T12:46:20.797Z,107.28,PLN,107.28,PLN,107.28,PLN
order,2025-10-18T08:56:29.452Z,50.90,PLN,50.90,PLN,50.90,PLN
order,2025-10-18T07:25:07.199Z,38.39,PLN,38.39,PLN,38.39,PLN
order,2025-10-17T22:15:32.567Z,111.76,PLN,111.76,PLN,111.76,PLN
order,2025-10-17T19:19:20.330Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-17T17:43:15.803Z,94.80,PLN,94.80,PLN,94.80,PLN
order,2025-10-17T17:05:54.075Z,48.84,PLN,48.84,PLN,48.84,PLN
order,2025-10-17T16:43:05.478Z,,,59.41,PLN,0.00,PLN
order,2025-10-17T16:41:33.571Z,60.20,PLN,60.20,PLN,60.20,PLN
order,2025-10-17T16:29:33.986Z,45.44,PLN,45.44,PLN,45.44,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,c66e3c60-b054-11f0-ae8d-03d58637d4d5,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,3e9cc711-afec-11f0-8e9e-571bc56be539,15574362870,"Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",2,18.39,PLN,,
lineItem,3e9cc712-afec-11f0-8e9e-571bc56be539,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,12.00,PLN,,
lineItem,3e9cc710-afec-11f0-8e9e-571bc56be539,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,3e9cc713-afec-11f0-8e9e-571bc56be539,15694160050,"Dezodorant RÓŻANY w sztyfcie z kwasem hialuronowym 50ml Equilibra",1,24.29,PLN,,
lineItem,8c599211-afe4-11f0-a8fb-0358669265fb,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,8c599212-afe4-11f0-a8fb-0358669265fb,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,13.45,PLN,,
lineItem,8c599214-afe4-11f0-a8fb-0358669265fb,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,8dd5ae90-af93-11f0-a03c-b90bc0d992c8,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,8dd5ae91-af93-11f0-a03c-b90bc0d992c8,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,13.45,PLN,,
lineItem,9fa28351-af8e-11f0-9b0c-e511fc7361fa,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,9fa28350-af8e-11f0-9b0c-e511fc7361fa,16968904906,"Equilibra szampon oczyszczający z AKTYWNYM WĘGLEM 265ml",1,23.39,PLN,,
lineItem,0a3e22b1-af89-11f0-8901-f1f0918a6d43,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,13.45,PLN,,
lineItem,87ce35a1-af78-11f0-9793-a31c3ea1e83c,15574362692,"Balsam do ciała ALOE 200ml",1,24.29,PLN,,
lineItem,87ce35a0-af78-11f0-9793-a31c3ea1e83c,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,87ce35a2-af78-11f0-9793-a31c3ea1e83c,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,bbda79e0-af4f-11f0-9fb3-f5f6cd84a299,15574925393,"Odświeżająca czysta woda różana 200ml",1,13.00,PLN,,
lineItem,bbdaa0f2-af4f-11f0-9fb3-f5f6cd84a299,15574823991,"Pasta do zębów wybielająca – żel aloesowy 75 ml",1,16.20,PLN,,
lineItem,bbdaa0f1-af4f-11f0-9fb3-f5f6cd84a299,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,bbdaa0f0-af4f-11f0-9fb3-f5f6cd84a299,17914635856,"Różany płyn do demakijażu 125ml - Equilibra",1,19.79,PLN,,
lineItem,058e5e41-af31-11f0-b89c-e7b0e16044f1,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,12.00,PLN,,
lineItem,058e5e40-af31-11f0-b89c-e7b0e16044f1,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,13.45,PLN,,
lineItem,efc1a6c0-af22-11f0-ada3-0f2973c20ab7,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,303cea90-aea9-11f0-814b-bd2054ad895c,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,12.00,PLN,,
lineItem,2a1b40a3-ae93-11f0-814d-7b95b9db2709,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,05307c81-ae91-11f0-b14e-07b89ba6e9ad,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,13.45,PLN,,
lineItem,05307c80-ae91-11f0-b14e-07b89ba6e9ad,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,20.99,PLN,,
lineItem,11025641-ae83-11f0-a588-b391296a673a,17389102044,"Equilibra Odżywczy Krem do rąk z masłem Shea",1,17.99,PLN,,
lineItem,11025642-ae83-11f0-a588-b391296a673a,17914507151,"Equilibra Wzmacniający szampon rozmarynowy 265ml",1,25.99,PLN,,
lineItem,11025643-ae83-11f0-a588-b391296a673a,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,81bbb7b1-ae82-11f0-9b0c-e511fc7361fa,15574362230,"Aloesowy oczyszczający żel micelarny ALOE 3+ 200 ml Equilibra",1,22.39,PLN,,
lineItem,81bbb7b0-ae82-11f0-9b0c-e511fc7361fa,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,13.45,PLN,,
lineItem,ce33c652-ae7d-11f0-8259-fbdb704ebfec,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,ce33c651-ae7d-11f0-8259-fbdb704ebfec,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,ce33c650-ae7d-11f0-8259-fbdb704ebfec,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,e5c532e1-ae78-11f0-ac1b-9f91abba8102,16805037738,"Delikatny żel pod prysznic 400ml",1,22.49,PLN,,
lineItem,e5c532e0-ae78-11f0-ac1b-9f91abba8102,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,13.45,PLN,,
lineItem,e5c532e2-ae78-11f0-ac1b-9f91abba8102,15574362388,"Odświeżający żel do higieny intymnej 200ml Equilibra",1,20.69,PLN,,
lineItem,e7b895e0-ae61-11f0-b989-75c7faccd1ca,17913884997,"Aloesowa oczyszczająca maseczka do twarzy 2 x 7,5ml",1,7.99,PLN,,
lineItem,e7b895e1-ae61-11f0-b989-75c7faccd1ca,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,13.45,PLN,,
lineItem,e7b895e2-ae61-11f0-b989-75c7faccd1ca,17914507151,"Equilibra Wzmacniający szampon rozmarynowy 265ml",1,25.99,PLN,,
lineItem,23bd2360-ae50-11f0-9b0c-e511fc7361fa,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
