Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-09-19T09:29:10.371Z,92.66,PLN,92.66,PLN,92.66,PLN
order,2025-09-19T07:42:30.729Z,55.20,PLN,55.20,PLN,55.20,PLN
order,2025-09-19T05:48:53.272Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-18T21:56:53.520Z,60.93,PLN,60.93,PLN,60.93,PLN
order,2025-09-18T19:13:10.840Z,55.48,PLN,55.48,PLN,55.48,PLN
order,2025-09-18T17:44:37.568Z,58.81,PLN,58.81,PLN,58.81,PLN
order,2025-09-18T15:53:56.115Z,62.18,PLN,62.18,PLN,62.18,PLN
order,2025-09-18T12:09:20.635Z,51.49,PLN,51.49,PLN,51.49,PLN
order,2025-09-18T11:25:55.004Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-18T11:03:54.559Z,28.48,PLN,28.48,PLN,28.48,PLN
order,2025-09-18T09:14:30.718Z,50.29,PLN,50.29,PLN,50.29,PLN
order,2025-09-18T07:01:25.621Z,39.94,PLN,39.94,PLN,39.94,PLN
order,2025-09-18T03:18:50.670Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-17T23:41:16.593Z,57.17,PLN,57.17,PLN,57.17,PLN
order,2025-09-17T22:33:17.606Z,25.15,PLN,25.15,PLN,25.15,PLN
order,2025-09-17T21:24:33.931Z,23.99,PLN,23.99,PLN,23.99,PLN
order,2025-09-17T20:24:33.963Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-17T19:46:17.996Z,58.40,PLN,58.40,PLN,58.40,PLN
order,2025-09-17T19:18:03.128Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-17T18:46:36.223Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-09-17T18:18:39.865Z,76.88,PLN,76.88,PLN,76.88,PLN
order,2025-09-17T17:37:26.104Z,48.67,PLN,48.67,PLN,48.67,PLN
order,2025-09-17T17:22:02.901Z,66.98,PLN,66.98,PLN,66.98,PLN
order,2025-09-17T11:41:26.298Z,96.72,PLN,96.72,PLN,96.72,PLN
order,2025-09-17T10:48:17.508Z,50.58,PLN,50.58,PLN,50.58,PLN
order,2025-09-17T10:39:07.435Z,50.16,PLN,50.16,PLN,50.16,PLN
order,2025-09-17T10:01:48.996Z,51.97,PLN,51.97,PLN,51.97,PLN
order,2025-09-17T08:25:56.234Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-17T08:13:02.509Z,50.29,PLN,50.29,PLN,50.29,PLN
order,2025-09-17T07:41:20.969Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-09-17T06:35:36.573Z,47.84,PLN,47.84,PLN,47.84,PLN
order,2025-09-17T05:32:06.385Z,306.58,PLN,306.58,PLN,306.58,PLN
order,2025-09-16T19:15:41.708Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-16T18:19:56.669Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-16T11:48:55.158Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-09-16T09:18:56.897Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-16T05:31:17.081Z,52.50,PLN,52.50,PLN,52.50,PLN
order,2025-09-15T21:18:57.222Z,65.00,PLN,65.00,PLN,65.00,PLN
order,2025-09-15T19:23:28.231Z,64.07,PLN,64.07,PLN,64.07,PLN
order,2025-09-15T17:59:49.377Z,24.49,PLN,24.49,PLN,24.49,PLN
order,2025-09-15T14:07:20.787Z,59.69,PLN,59.69,PLN,59.69,PLN
order,2025-09-15T11:59:44.689Z,62.99,PLN,62.99,PLN,62.99,PLN
order,2025-09-15T11:19:54.572Z,53.39,PLN,53.39,PLN,53.39,PLN
order,2025-09-15T04:39:20.422Z,45.39,PLN,45.39,PLN,45.39,PLN
order,2025-09-15T04:03:51.370Z,43.99,PLN,43.99,PLN,43.99,PLN
order,2025-09-14T21:59:38.115Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-09-14T20:46:22.653Z,45.37,PLN,45.37,PLN,45.37,PLN
order,2025-09-14T19:38:27.303Z,51.71,PLN,51.71,PLN,51.71,PLN
order,2025-09-14T17:40:01.089Z,56.51,PLN,56.51,PLN,56.51,PLN
order,2025-09-14T17:32:31.845Z,49.04,PLN,49.04,PLN,49.04,PLN
order,2025-09-14T16:34:50.321Z,70.10,PLN,70.10,PLN,70.10,PLN
order,2025-09-14T15:42:22.896Z,91.59,PLN,91.59,PLN,91.59,PLN
order,2025-09-14T13:48:18.769Z,141.60,PLN,141.60,PLN,141.60,PLN
order,2025-09-14T12:14:24.308Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-14T10:55:08.785Z,25.15,PLN,25.15,PLN,25.15,PLN
order,2025-09-14T06:52:36.098Z,57.25,PLN,57.25,PLN,57.25,PLN
order,2025-09-13T19:47:35.724Z,59.95,PLN,59.95,PLN,59.95,PLN
order,2025-09-13T14:20:25.737Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-13T09:14:17.161Z,80.03,PLN,80.03,PLN,80.03,PLN
order,2025-09-13T05:52:52.137Z,55.96,PLN,55.96,PLN,55.96,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,07438543-953b-11f0-8de4-cb3bc5d0e8a4,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.00,PLN,,
lineItem,07438544-953b-11f0-8de4-cb3bc5d0e8a4,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",3,14.16,PLN,,
lineItem,07438542-953b-11f0-8de4-cb3bc5d0e8a4,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,20.99,PLN,,
lineItem,07438541-953b-11f0-8de4-cb3bc5d0e8a4,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.19,PLN,,
lineItem,24da6ec0-952c-11f0-8de4-cb3bc5d0e8a4,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,13.00,PLN,,
lineItem,24da6ec9-952c-11f0-8de4-cb3bc5d0e8a4,15574823991,"Pasta do zębów wybielająca – żel aloesowy 75 ml",1,16.20,PLN,,
lineItem,32077da0-951c-11f0-851b-d74ab869f4ab,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,13.00,PLN,,
lineItem,47d3a741-94da-11f0-b55d-c5913dafd975,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,14.16,PLN,,
lineItem,47d3a740-94da-11f0-b55d-c5913dafd975,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",2,16.19,PLN,,
lineItem,47d3a742-94da-11f0-b55d-c5913dafd975,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,562c6910-94c3-11f0-8e6a-9b9fabe474ff,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.00,PLN,,
lineItem,562c6911-94c3-11f0-8e6a-9b9fabe474ff,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",3,14.16,PLN,,
lineItem,157b3f10-94b7-11f0-8e6a-9b9fabe474ff,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.00,PLN,,
lineItem,157b3f11-94b7-11f0-8e6a-9b9fabe474ff,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,14.16,PLN,,
lineItem,157b3f12-94b7-11f0-8e6a-9b9fabe474ff,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,9c70e8e1-94a7-11f0-851b-d74ab869f4ab,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,9c70e8e2-94a7-11f0-851b-d74ab869f4ab,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,14.16,PLN,,
lineItem,9c70e8e0-94a7-11f0-851b-d74ab869f4ab,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,18.53,PLN,,
lineItem,9c70e8e3-94a7-11f0-851b-d74ab869f4ab,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,44dc8091-9488-11f0-917a-e56beefb5a20,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,44dc8092-9488-11f0-917a-e56beefb5a20,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,13.00,PLN,,
lineItem,44dc8090-9488-11f0-917a-e56beefb5a20,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,feb25f00-9481-11f0-8173-a97a7ed6d149,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,13.00,PLN,,
lineItem,43de7d10-947e-11f0-8173-a97a7ed6d149,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,d00737a0-946f-11f0-8e6a-9b9fabe474ff,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,13.00,PLN,,
lineItem,d00737a1-946f-11f0-8e6a-9b9fabe474ff,17213901552,"Equilibra oczyszczający żel do mycia twarzy z aktywnym węglem 200ml",1,24.29,PLN,,
lineItem,bb887631-945c-11f0-b353-a31ab7a2accd,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,14.16,PLN,,
lineItem,bb887630-945c-11f0-b353-a31ab7a2accd,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,1fcedfe0-943e-11f0-a0cf-655d3976444d,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",4,14.16,PLN,,
lineItem,af38d600-941f-11f0-a0cf-655d3976444d,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.00,PLN,,
lineItem,af38d602-941f-11f0-a0cf-655d3976444d,15574925269,"Arganowe mydło 100% roślinne 100g Equilibra",1,11.69,PLN,,
