Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-23T11:39:34.198Z,66.58,PLN,66.58,PLN,66.58,PLN
order,2025-07-23T10:26:20.581Z,59.98,PLN,59.98,PLN,59.98,PLN
order,2025-07-23T09:36:16.069Z,121.58,PLN,121.58,PLN,121.58,PLN
order,2025-07-23T09:35:44.423Z,49.83,PLN,49.83,PLN,49.83,PLN
order,2025-07-23T09:25:54.854Z,50.06,PLN,50.06,PLN,50.06,PLN
order,2025-07-23T08:54:40.088Z,70.85,PLN,70.85,PLN,70.85,PLN
order,2025-07-23T07:41:59.875Z,56.39,PLN,56.39,PLN,56.39,PLN
order,2025-07-23T06:38:09.915Z,68.80,PLN,68.80,PLN,68.80,PLN
order,2025-07-22T21:17:13.345Z,65.94,PLN,65.94,PLN,65.94,PLN
order,2025-07-22T21:09:41.696Z,55.93,PLN,55.93,PLN,55.93,PLN
order,2025-07-22T18:49:14.028Z,50.78,PLN,50.78,PLN,50.78,PLN
order,2025-07-22T17:09:23.434Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-07-22T16:28:34.454Z,53.67,PLN,53.67,PLN,53.67,PLN
order,2025-07-22T11:42:34.349Z,68.64,PLN,68.64,PLN,68.64,PLN
order,2025-07-21T21:22:02.830Z,74.46,PLN,74.46,PLN,74.46,PLN
order,2025-07-21T20:36:44.046Z,124.97,PLN,124.97,PLN,124.97,PLN
order,2025-07-21T16:24:27.403Z,36.45,PLN,36.45,PLN,36.45,PLN
order,2025-07-21T14:53:30.174Z,59.62,PLN,59.62,PLN,59.62,PLN
order,2025-07-21T13:54:34.171Z,,,45.67,PLN,0.00,PLN
order,2025-07-21T10:43:19.716Z,66.67,PLN,66.67,PLN,66.67,PLN
order,2025-07-21T07:08:23.152Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-21T05:54:04.643Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2025-07-21T03:48:34.393Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-20T22:29:09.481Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-20T20:36:32.516Z,55.38,PLN,55.38,PLN,55.38,PLN
order,2025-07-20T18:19:09.852Z,115.68,PLN,115.68,PLN,115.68,PLN
order,2025-07-20T15:30:30.182Z,83.71,PLN,83.71,PLN,83.71,PLN
order,2025-07-20T10:43:12.693Z,51.78,PLN,51.78,PLN,51.78,PLN
order,2025-07-19T20:50:00.628Z,57.19,PLN,57.19,PLN,57.19,PLN
order,2025-07-19T19:24:35.312Z,47.92,PLN,47.92,PLN,47.92,PLN
order,2025-07-19T18:57:41.945Z,85.13,PLN,85.13,PLN,85.13,PLN
order,2025-07-19T08:48:45.549Z,35.28,PLN,35.28,PLN,35.28,PLN
order,2025-07-18T17:13:01.773Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-18T12:34:24.920Z,54.91,PLN,54.91,PLN,54.91,PLN
order,2025-07-18T09:20:04.738Z,140.00,PLN,140.00,PLN,140.00,PLN
order,2025-07-18T07:50:37.405Z,57.36,PLN,57.36,PLN,57.36,PLN
order,2025-07-18T06:38:53.871Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-18T04:36:19.091Z,52.29,PLN,52.29,PLN,52.29,PLN
order,2025-07-17T21:34:22.942Z,53.91,PLN,53.91,PLN,53.91,PLN
order,2025-07-17T19:09:24.866Z,67.56,PLN,67.56,PLN,67.56,PLN
order,2025-07-17T17:57:05.902Z,45.39,PLN,45.39,PLN,25.68,PLN
order,2025-07-17T17:55:37.247Z,83.96,PLN,83.96,PLN,83.96,PLN
order,2025-07-17T17:46:55.403Z,,,83.26,PLN,0.00,PLN
order,2025-07-17T17:07:25.283Z,57.26,PLN,57.26,PLN,57.26,PLN
order,2025-07-17T11:32:21.847Z,86.19,PLN,86.19,PLN,86.19,PLN
order,2025-07-17T08:14:58.475Z,90.77,PLN,90.77,PLN,90.77,PLN
order,2025-07-17T06:54:27.268Z,58.33,PLN,58.33,PLN,58.33,PLN
order,2025-07-16T21:37:18.613Z,43.39,PLN,43.39,PLN,43.39,PLN
order,2025-07-16T20:48:50.369Z,46.55,PLN,46.55,PLN,46.55,PLN
order,2025-07-16T20:30:24.570Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-16T18:12:53.484Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-16T17:40:36.668Z,47.01,PLN,47.01,PLN,47.01,PLN
order,2025-07-16T14:39:51.643Z,53.69,PLN,53.69,PLN,53.69,PLN
order,2025-07-16T13:48:39.716Z,46.36,PLN,46.36,PLN,46.36,PLN
order,2025-07-16T10:44:42.145Z,177.31,PLN,177.31,PLN,177.31,PLN
order,2025-07-16T09:55:44.158Z,68.76,PLN,68.76,PLN,68.76,PLN
order,2025-07-16T09:43:29.047Z,62.39,PLN,62.39,PLN,62.39,PLN
order,2025-07-16T07:55:54.872Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-16T07:45:06.261Z,38.99,PLN,38.99,PLN,38.99,PLN
order,2025-07-16T06:10:23.358Z,70.77,PLN,70.77,PLN,70.77,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,a4def051-67b9-11f0-84a5-53563a8c20bb,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,a4def052-67b9-11f0-84a5-53563a8c20bb,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,a4def053-67b9-11f0-84a5-53563a8c20bb,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,a4def050-67b9-11f0-84a5-53563a8c20bb,17388925570,"Szampon przeciwłupieżowy 300ml Equilibra",1,19.25,PLN,,
lineItem,696b41e0-67af-11f0-ac72-27c86702e131,17532673280,"Equilibra Kolagen Plus Suplement diety 10 saszetek, do picia",2,29.99,PLN,,
lineItem,eb7e7ce5-67a7-11f0-8954-39f34086d825,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,eb7e7ce4-67a7-11f0-8954-39f34086d825,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.85,PLN,,
lineItem,eb7e7ce0-67a7-11f0-8954-39f34086d825,16968904906,"Equilibra szampon oczyszczający z AKTYWNYM WĘGLEM 265ml",2,23.39,PLN,,
lineItem,eb7e7ce2-67a7-11f0-8954-39f34086d825,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,eb7e7ce1-67a7-11f0-8954-39f34086d825,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,16.78,PLN,,
lineItem,58d9f0d1-67a8-11f0-b3ba-0d27e614235d,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",2,17.49,PLN,,
lineItem,58d9f0d0-67a8-11f0-b3ba-0d27e614235d,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.85,PLN,,
lineItem,9ee95810-67a6-11f0-9afd-09a48efee8f6,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",2,16.78,PLN,,
lineItem,9ee95812-67a6-11f0-9afd-09a48efee8f6,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,a219ad44-67a2-11f0-a119-29c240735a5a,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,a219ad43-67a2-11f0-a119-29c240735a5a,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,a219ad41-67a2-11f0-a119-29c240735a5a,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,a219ad42-67a2-11f0-a119-29c240735a5a,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,a219ad40-67a2-11f0-a119-29c240735a5a,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,6253e2ce-6798-11f0-8ba9-07db36a116d4,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,14.00,PLN,,
lineItem,6253e2cf-6798-11f0-8ba9-07db36a116d4,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,94ff29e0-678f-11f0-8ba9-07db36a116d4,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.73,PLN,,
lineItem,94ff29e3-678f-11f0-8ba9-07db36a116d4,17434586372,"Equilibra Aloe krem przeciwsłoneczny SPF50 75 ml",1,27.99,PLN,,
lineItem,94ff29e2-678f-11f0-8ba9-07db36a116d4,17389017193,"Equilibra pasta do zębów z aktywnym węglem 75ml",1,16.19,PLN,,
lineItem,94ff29e1-678f-11f0-8ba9-07db36a116d4,15574823991,"Pasta do zębów wybielająca – żel aloesowy 75 ml",1,11.89,PLN,,
lineItem,339a70e0-6741-11f0-9fcc-ebe39cf453b1,17389102044,"Equilibra Odżywczy Krem do rąk z masłem Shea",1,17.99,PLN,,
lineItem,339a70e1-6741-11f0-9fcc-ebe39cf453b1,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",2,16.78,PLN,,
lineItem,339a70e2-6741-11f0-9fcc-ebe39cf453b1,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,195fc501-6740-11f0-8352-0d6cbcbb0f06,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,195fc502-6740-11f0-8352-0d6cbcbb0f06,16101531648,"EQUILIBRA Różane płatki pod oczy, 2szt.",1,12.59,PLN,,
lineItem,195fc500-6740-11f0-8352-0d6cbcbb0f06,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,195fc503-6740-11f0-8352-0d6cbcbb0f06,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
