Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-10T16:57:54.174Z,72.98,PLN,72.98,PLN,72.98,PLN
order,2025-07-10T16:33:03.861Z,65.44,PLN,65.44,PLN,65.44,PLN
order,2025-07-10T16:03:32.830Z,52.97,PLN,52.97,PLN,52.97,PLN
order,2025-07-10T12:54:53.703Z,54.37,PLN,54.37,PLN,54.37,PLN
order,2025-07-10T10:03:06.565Z,57.09,PLN,57.09,PLN,57.09,PLN
order,2025-07-10T09:14:29.593Z,,,76.54,PLN,0.00,PLN
order,2025-07-10T09:03:22.298Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-10T08:34:53.016Z,54.82,PLN,54.82,PLN,54.82,PLN
order,2025-07-10T08:08:27.117Z,51.08,PLN,51.08,PLN,51.08,PLN
order,2025-07-10T07:30:27.291Z,140.00,PLN,140.00,PLN,140.00,PLN
order,2025-07-10T07:06:52.017Z,52.35,PLN,52.35,PLN,52.35,PLN
order,2025-07-10T06:55:16.428Z,46.24,PLN,46.24,PLN,46.24,PLN
order,2025-07-09T21:14:44.221Z,52.25,PLN,52.25,PLN,52.25,PLN
order,2025-07-09T16:58:33.187Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-09T15:57:24.701Z,24.99,PLN,24.99,PLN,24.99,PLN
order,2025-07-09T15:14:48.105Z,111.22,PLN,111.22,PLN,111.22,PLN
order,2025-07-09T14:51:31.797Z,24.33,PLN,24.33,PLN,24.33,PLN
order,2025-07-09T10:56:19.891Z,78.76,PLN,78.76,PLN,78.76,PLN
order,2025-07-09T10:43:23.443Z,80.43,PLN,80.43,PLN,80.43,PLN
order,2025-07-09T09:56:31.368Z,45.56,PLN,45.56,PLN,45.56,PLN
order,2025-07-09T09:46:22.090Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2025-07-09T07:28:13.843Z,80.84,PLN,80.84,PLN,80.84,PLN
order,2025-07-09T06:07:12.004Z,375.68,PLN,375.68,PLN,375.68,PLN
order,2025-07-09T06:02:51.285Z,51.40,PLN,51.40,PLN,51.40,PLN
order,2025-07-09T05:44:48.051Z,51.12,PLN,51.12,PLN,51.12,PLN
order,2025-07-09T05:08:52.780Z,59.18,PLN,59.18,PLN,59.18,PLN
order,2025-07-09T05:08:33.854Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-08T23:15:53.878Z,51.88,PLN,51.88,PLN,51.88,PLN
order,2025-07-08T21:08:20.339Z,40.67,PLN,40.67,PLN,40.67,PLN
order,2025-07-08T20:31:34.823Z,49.35,PLN,49.35,PLN,49.35,PLN
order,2025-07-08T18:38:38.479Z,45.39,PLN,45.39,PLN,45.39,PLN
order,2025-07-08T18:03:05.867Z,58.38,PLN,58.38,PLN,58.38,PLN
order,2025-07-08T17:04:39.845Z,94.56,PLN,94.56,PLN,94.56,PLN
order,2025-07-08T16:21:14.616Z,40.73,PLN,40.73,PLN,40.73,PLN
order,2025-07-08T16:07:39.785Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-08T15:12:18.860Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-08T15:00:01.340Z,58.68,PLN,58.68,PLN,58.68,PLN
order,2025-07-08T13:33:56.063Z,52.57,PLN,52.57,PLN,52.57,PLN
order,2025-07-08T10:33:34.573Z,47.58,PLN,47.58,PLN,47.58,PLN
order,2025-07-08T09:17:52.378Z,79.92,PLN,79.92,PLN,79.92,PLN
order,2025-07-08T09:01:36.146Z,45.26,PLN,45.26,PLN,45.26,PLN
order,2025-07-08T08:07:51.117Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-07-08T05:44:20.177Z,63.87,PLN,63.87,PLN,63.87,PLN
order,2025-07-08T05:37:22.241Z,47.58,PLN,47.58,PLN,47.58,PLN
order,2025-07-08T03:46:34.857Z,23.47,PLN,23.47,PLN,23.47,PLN
order,2025-07-07T23:01:09.700Z,46.47,PLN,46.47,PLN,46.47,PLN
order,2025-07-07T21:50:35.297Z,84.41,PLN,84.41,PLN,84.41,PLN
order,2025-07-07T20:35:28.619Z,59.54,PLN,59.54,PLN,59.54,PLN
order,2025-07-07T20:29:21.349Z,53.68,PLN,53.68,PLN,53.68,PLN
order,2025-07-07T20:12:10.299Z,24.99,PLN,24.99,PLN,24.99,PLN
order,2025-07-07T20:10:50.246Z,69.66,PLN,69.66,PLN,69.66,PLN
order,2025-07-07T20:08:18.878Z,81.91,PLN,81.91,PLN,81.91,PLN
order,2025-07-07T17:56:09.317Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-07-07T15:18:03.331Z,94.99,PLN,94.99,PLN,94.99,PLN
order,2025-07-07T14:57:26.752Z,49.94,PLN,49.94,PLN,49.94,PLN
order,2025-07-07T12:21:34.379Z,46.89,PLN,46.89,PLN,46.89,PLN
order,2025-07-07T09:59:01.203Z,85.80,PLN,85.80,PLN,85.80,PLN
order,2025-07-07T09:40:52.563Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-07T08:37:27.448Z,82.14,PLN,82.14,PLN,82.14,PLN
order,2025-07-07T08:11:38.687Z,45.71,PLN,45.71,PLN,45.71,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,f32caf51-5dae-11f0-836c-7fbe94c612dc,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,f32caf52-5dae-11f0-836c-7fbe94c612dc,17213901552,"Equilibra oczyszczający żel do mycia twarzy z aktywnym węglem 200ml",1,24.29,PLN,,
lineItem,f32caf50-5dae-11f0-836c-7fbe94c612dc,15574362434,"Nawilżający żel do higieny intymnej 200ml Equilibra",1,20.69,PLN,,
lineItem,80b287e0-5dab-11f0-875b-572cc510c843,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",2,19.88,PLN,,
lineItem,80b287e1-5dab-11f0-875b-572cc510c843,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,5c8d2180-5da7-11f0-9219-831b74132491,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,5c8d2181-5da7-11f0-9219-831b74132491,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",3,12.99,PLN,,
lineItem,0c324b82-5d8d-11f0-9136-0576ac0ded51,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.08,PLN,,
lineItem,0c324b80-5d8d-11f0-9136-0576ac0ded51,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,0c324b81-5d8d-11f0-9136-0576ac0ded51,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,fd25d571-5d74-11f0-b09d-a5302dabd8b0,15574823728,"Aloesowy żel do kąpieli 400 ml Equilibra",2,18.69,PLN,,
lineItem,fd25d570-5d74-11f0-b09d-a5302dabd8b0,15574362473,"Arganowy żel do kąpieli 400 ml",1,19.71,PLN,,
lineItem,391f6570-5d6e-11f0-8235-4fa5215c1faa,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,19.88,PLN,,
lineItem,391f6573-5d6e-11f0-8235-4fa5215c1faa,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,391f6572-5d6e-11f0-8235-4fa5215c1faa,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.08,PLN,,
lineItem,391f6571-5d6e-11f0-8235-4fa5215c1faa,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,21.75,PLN,,
lineItem,a091b481-5d6c-11f0-a267-99d7b9dc79ff,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,2db7af43-5d68-11f0-9a3b-453ea75af436,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",2,20.99,PLN,,
lineItem,2db7af42-5d68-11f0-9a3b-453ea75af436,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,059c6122-5d65-11f0-aba2-7f704347bf62,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,12.73,PLN,,
lineItem,059c6120-5d65-11f0-aba2-7f704347bf62,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,059c6121-5d65-11f0-aba2-7f704347bf62,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,12.78,PLN,,
lineItem,afeda9f0-5d5f-11f0-82fd-f957882fbd7c,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",10,14.00,PLN,,
lineItem,639c08b1-5d5c-11f0-a2bc-c39163a1c7e0,16101531648,"EQUILIBRA Różane płatki pod oczy, 2szt.",1,12.59,PLN,,
lineItem,639c08b0-5d5c-11f0-a2bc-c39163a1c7e0,16968904906,"Equilibra szampon oczyszczający z AKTYWNYM WĘGLEM 265ml",2,19.88,PLN,,
lineItem,a24eabf1-5d5a-11f0-a267-99d7b9dc79ff,17431593926,"Equilibra SUN Zestaw krem p/z do twarzy SPF 50 i Olejek ochronny do włosów",1,29.74,PLN,,
lineItem,a24eabf0-5d5a-11f0-a267-99d7b9dc79ff,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,b2e498e1-5d09-11f0-9219-831b74132491,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,b2e498e3-5d09-11f0-9219-831b74132491,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,b2e498e0-5d09-11f0-9219-831b74132491,16084077562,"Baby łagodny krem ochronny do twarzy i ciała 100 ml Equilibra od 1 dnia",1,11.98,PLN,,
lineItem,b2e498e2-5d09-11f0-9219-831b74132491,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,12.78,PLN,,
