Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-06-24T15:01:17.016Z,54.54,PLN,54.54,PLN,54.54,PLN
order,2025-06-24T14:54:01.666Z,83.36,PLN,83.36,PLN,83.36,PLN
order,2025-06-24T07:38:44.226Z,51.99,PLN,51.99,PLN,51.99,PLN
order,2025-06-23T14:59:16.905Z,48.08,PLN,48.08,PLN,48.08,PLN
order,2025-06-23T10:58:08.649Z,48.08,PLN,48.08,PLN,48.08,PLN
order,2025-06-23T07:39:30.700Z,48.08,PLN,48.08,PLN,48.08,PLN
order,2025-06-22T21:19:47.806Z,52.30,PLN,52.30,PLN,52.30,PLN
order,2025-06-22T20:28:35.261Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-22T18:06:22.894Z,48.18,PLN,48.18,PLN,48.18,PLN
order,2025-06-22T12:41:51.871Z,83.28,PLN,83.28,PLN,83.28,PLN
order,2025-06-22T12:28:47.824Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2025-06-22T10:43:44.268Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-21T23:21:30.535Z,56.65,PLN,56.65,PLN,56.65,PLN
order,2025-06-21T08:00:49.569Z,48.44,PLN,48.44,PLN,48.44,PLN
order,2025-06-20T20:48:12.540Z,59.06,PLN,59.06,PLN,59.06,PLN
order,2025-06-20T12:25:15.075Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-20T07:39:57.204Z,76.02,PLN,76.02,PLN,76.02,PLN
order,2025-06-20T06:53:01.816Z,77.12,PLN,77.12,PLN,77.12,PLN
order,2025-06-19T20:04:36.834Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2025-06-19T19:44:12.335Z,187.30,PLN,187.30,PLN,187.30,PLN
order,2025-06-19T17:57:38.373Z,51.48,PLN,51.48,PLN,51.48,PLN
order,2025-06-19T16:30:55.939Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-19T10:56:09.852Z,107.48,PLN,107.48,PLN,107.48,PLN
order,2025-06-19T10:44:26.280Z,55.00,PLN,55.00,PLN,55.00,PLN
order,2025-06-19T09:33:14.410Z,92.49,PLN,92.49,PLN,92.49,PLN
order,2025-06-19T00:59:03.539Z,59.51,PLN,59.51,PLN,59.51,PLN
order,2025-06-18T15:19:21.966Z,47.29,PLN,47.29,PLN,47.29,PLN
order,2025-06-18T12:09:46.032Z,53.23,PLN,53.23,PLN,53.23,PLN
order,2025-06-18T10:44:16.535Z,66.56,PLN,66.56,PLN,66.56,PLN
order,2025-06-18T08:50:14.072Z,38.99,PLN,38.99,PLN,38.99,PLN
order,2025-06-18T08:49:13.568Z,61.47,PLN,61.47,PLN,61.47,PLN
order,2025-06-18T05:31:35.015Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-17T21:13:27.966Z,47.32,PLN,47.32,PLN,47.32,PLN
order,2025-06-17T18:55:15.399Z,,,45.67,PLN,0.00,PLN
order,2025-06-17T18:45:13.582Z,60.85,PLN,60.85,PLN,60.85,PLN
order,2025-06-17T14:04:31.068Z,58.33,PLN,58.33,PLN,58.33,PLN
order,2025-06-17T12:46:09.574Z,55.19,PLN,55.19,PLN,55.19,PLN
order,2025-06-17T09:46:15.586Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-06-17T07:35:49.966Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-06-17T06:33:05.634Z,38.99,PLN,38.99,PLN,38.99,PLN
order,2025-06-16T21:19:48.428Z,71.19,PLN,71.19,PLN,71.19,PLN
order,2025-06-16T20:34:41.507Z,45.09,PLN,45.09,PLN,45.09,PLN
order,2025-06-16T19:57:25.026Z,93.91,PLN,93.91,PLN,0.00,PLN
order,2025-06-16T18:23:21.485Z,57.19,PLN,57.19,PLN,57.19,PLN
order,2025-06-16T16:40:03.585Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-06-16T11:50:25.352Z,59.47,PLN,59.47,PLN,0.00,PLN
order,2025-06-16T10:31:02.539Z,83.38,PLN,83.38,PLN,83.38,PLN
order,2025-06-16T07:30:38.977Z,66.71,PLN,66.71,PLN,66.71,PLN
order,2025-06-16T07:20:36.229Z,62.58,PLN,62.58,PLN,62.58,PLN
order,2025-06-16T06:05:40.829Z,61.45,PLN,61.45,PLN,61.45,PLN
order,2025-06-16T05:58:36.448Z,55.80,PLN,55.80,PLN,55.80,PLN
order,2025-06-16T04:56:21.730Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-15T21:24:39.890Z,113.13,PLN,113.13,PLN,113.13,PLN
order,2025-06-15T19:26:22.315Z,52.16,PLN,52.16,PLN,52.16,PLN
order,2025-06-15T19:08:53.283Z,71.88,PLN,71.88,PLN,71.88,PLN
order,2025-06-15T18:42:47.981Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-06-15T14:14:55.439Z,58.02,PLN,58.02,PLN,58.02,PLN
order,2025-06-15T12:15:49.441Z,82.29,PLN,82.29,PLN,82.29,PLN
order,2025-06-15T10:36:46.984Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2025-06-15T06:02:16.446Z,136.66,PLN,136.66,PLN,136.66,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,f06730b1-510b-11f0-a0ef-f30366adb35c,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.73,PLN,,
lineItem,f06730b0-510b-11f0-a0ef-f30366adb35c,15574925269,"Arganowe mydło 100% roślinne 100g Equilibra",1,11.69,PLN,,
lineItem,f06730b2-510b-11f0-a0ef-f30366adb35c,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,17.12,PLN,,
lineItem,f06730b3-510b-11f0-a0ef-f30366adb35c,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,13.00,PLN,,
lineItem,ff2038f3-510a-11f0-9227-f95e6794bb36,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,ff2038f2-510a-11f0-9227-f95e6794bb36,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.86,PLN,,
lineItem,ff2038f0-510a-11f0-9227-f95e6794bb36,17434586372,"Equilibra Aloe krem przeciwsłoneczny SPF50 75 ml",1,27.99,PLN,,
lineItem,ff2038f1-510a-11f0-9227-f95e6794bb36,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,17.12,PLN,,
lineItem,37f69f80-50ce-11f0-abb9-9540254f28ab,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,37f69f81-50ce-11f0-abb9-9540254f28ab,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,13.00,PLN,,
lineItem,903484f7-5042-11f0-98f6-8db0c4a544e4,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,13.00,PLN,,
lineItem,903484f6-5042-11f0-98f6-8db0c4a544e4,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,11.04,PLN,,
lineItem,e5a4e551-5020-11f0-a1b9-b1883470666f,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,13.00,PLN,,
lineItem,e5a4e550-5020-11f0-a1b9-b1883470666f,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,11.04,PLN,,
lineItem,247596b1-5005-11f0-8c5e-df9522bec728,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,13.00,PLN,,
lineItem,247596b0-5005-11f0-8c5e-df9522bec728,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,11.04,PLN,,
lineItem,968b22d2-4fae-11f0-b186-4ff81881cc3c,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,968b22d1-4fae-11f0-b186-4ff81881cc3c,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,968b22d0-4fae-11f0-b186-4ff81881cc3c,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,59c9de65-4fa7-11f0-ab50-913305160b33,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,7a079735-4f93-11f0-80df-1d05d857a88c,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,7a079734-4f93-11f0-80df-1d05d857a88c,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",2,17.09,PLN,,
lineItem,356f4af0-4f66-11f0-93b9-c1623fd26305,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,356f4af3-4f66-11f0-93b9-c1623fd26305,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,356f4af1-4f66-11f0-93b9-c1623fd26305,16101363440,"Equilibra pasta do zębów multi-funkcyjna 75ml",1,16.20,PLN,,
lineItem,356f4af2-4f66-11f0-93b9-c1623fd26305,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,6138c640-4f64-11f0-b2b2-175186fa9583,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",5,14.00,PLN,,
lineItem,aa94fa70-4f55-11f0-a733-a1ab276fa7c7,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,3a9e9c82-4ef6-11f0-b605-efa1bbca0560,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,3a9e9c81-4ef6-11f0-b605-efa1bbca0560,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,11.05,PLN,,
lineItem,3a9e9c80-4ef6-11f0-b605-efa1bbca0560,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,17.12,PLN,,
